S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,File Name,Constituency,State
6,IDRISH G MULLA,Independent,247,-,247,0.27,1 - Daman & Diu  (Dadra & Nagar Haveli and Daman & Diu),1 - Daman & Diu,Dadra & Nagar Haveli and Daman & Diu
7,PATEL UMESHBHAI BABU,Independent,238,-,238,0.26,1 - Daman & Diu  (Dadra & Nagar Haveli and Daman & Diu),1 - Daman & Diu,Dadra & Nagar Haveli and Daman & Diu
8,NOTA,None of the Above,977,1,978,1.06,1 - Daman & Diu  (Dadra & Nagar Haveli and Daman & Diu),1 - Daman & Diu,Dadra & Nagar Haveli and Daman & Diu
1,KULDEEP INDORA,Indian National Congress,719896,6596,726492,51.4,1 - GANGANAGAR  (Rajasthan),1 - GANGANAGAR,Rajasthan
2,PRIYANKA BALAN MEGHWAL,Bharatiya Janata Party,632097,6242,638339,45.16,1 - GANGANAGAR  (Rajasthan),1 - GANGANAGAR,Rajasthan
3,DEVKARAN NAYAK,Bahujan Samaj Party,16090,212,16302,1.15,1 - GANGANAGAR  (Rajasthan),1 - GANGANAGAR,Rajasthan
4,RAJKUMAR,Independent,4350,25,4375,0.31,1 - GANGANAGAR  (Rajasthan),1 - GANGANAGAR,Rajasthan
5,KULWANT KAUR,Indian Peoples Green Party,4338,24,4362,0.31,1 - GANGANAGAR  (Rajasthan),1 - GANGANAGAR,Rajasthan
6,DAYA RAM,Independent,3285,434,3719,0.26,1 - GANGANAGAR  (Rajasthan),1 - GANGANAGAR,Rajasthan
7,RAJENDER KUMAR,Bhartiya Jan Samman Party,2383,60,2443,0.17,1 - GANGANAGAR  (Rajasthan),1 - GANGANAGAR,Rajasthan
8,KANA RAM,Independent,2248,18,2266,0.16,1 - GANGANAGAR  (Rajasthan),1 - GANGANAGAR,Rajasthan
9,MAJOR SINGH,Jai Hind Congress Party,2075,26,2101,0.15,1 - GANGANAGAR  (Rajasthan),1 - GANGANAGAR,Rajasthan
10,NOTA,None of the Above,12940,155,13095,0.93,1 - GANGANAGAR  (Rajasthan),1 - GANGANAGAR,Rajasthan
1,SUKHJINDER SINGH RANDHAWA,Indian National Congress,361713,2330,364043,33.78,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
2,DINESH SINGH BABBU,Bharatiya Janata Party,278701,2481,281182,26.09,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
3,AMANSHER SINGH (SHERY KALSI),Aam Aadmi Party,275416,1836,277252,25.72,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
