S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,File Name,Constituency,State
2,KOTHAPALLI GEETHA,Bharatiya Janata Party,417113,9312,426425,36.62,1 - Araku (ST) (Andhra Pradesh),1 - Araku (ST),Andhra Pradesh
3,APPALANARASA PACHIPENTA,Communist Party of India (Marxist),119016,4113,123129,10.57,1 - Araku (ST) (Andhra Pradesh),1 - Araku (ST),Andhra Pradesh
4,AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858,892,25750,2.21,1 - Araku (ST) (Andhra Pradesh),1 - Araku (ST),Andhra Pradesh
5,SAMAREDDY BALAKRISHNA,Independent,9493,42,9535,0.8200000000000001,1 - Araku (ST) (Andhra Pradesh),1 - Araku (ST),Andhra Pradesh
6,NIMMAKA JAYARAJU,Independent,8798,664,9462,0.81,1 - Araku (ST) (Andhra Pradesh),1 - Araku (ST),Andhra Pradesh
7,ATHIDHI,Independent,8121,15,8136,0.7000000000000001,1 - Araku (ST) (Andhra Pradesh),1 - Araku (ST),Andhra Pradesh
8,CHANTI BADNAINA,Jai Bharat National Party,7205,47,7252,0.62,1 - Araku (ST) (Andhra Pradesh),1 - Araku (ST),Andhra Pradesh
9,MOTTADAM . RAJABABU,Bharat Adivasi Party,6370,396,6766,0.58,1 - Araku (ST) (Andhra Pradesh),1 - Araku (ST),Andhra Pradesh
10,RANJITH KUMAR PALAKA,Independent,6000,47,6047,0.52,1 - Araku (ST) (Andhra Pradesh),1 - Araku (ST),Andhra Pradesh
11,RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4933,26,4959,0.43,1 - Araku (ST) (Andhra Pradesh),1 - Araku (ST),Andhra Pradesh
12,MANDALA GIRIDHARA RAO,Independent,4931,36,4967,0.43,1 - Araku (ST) (Andhra Pradesh),1 - Araku (ST),Andhra Pradesh
13,VUYAKA NIREEKSHAN (V. CHENCHU),India Praja Bandhu Party,4500,42,4542,0.39,1 - Araku (ST) (Andhra Pradesh),1 - Araku (ST),Andhra Pradesh
14,NOTA,None of the Above,50205,265,50470,4.33,1 - Araku (ST) (Andhra Pradesh),1 - Araku (ST),Andhra Pradesh
1,KIREN RIJIJU,Bharatiya Janata Party,196415,9002,205417,51.38,1 - Arunachal West (Arunachal Pradesh),1 - Arunachal West,Arunachal Pradesh
2,NABAM TUKI,Indian National Congress,100100,4579,104679,26.18,1 - Arunachal West (Arunachal Pradesh),1 - Arunachal West,Arunachal Pradesh
3,TECHI RANA,Independent,31106,2208,33314,8.33,1 - Arunachal West (Arunachal Pradesh),1 - Arunachal West,Arunachal Pradesh
4,TOKO SHEETAL,Gana Suraksha Party,27670,2860,30530,7.64,1 - Arunachal West (Arunachal Pradesh),1 - Arunachal West,Arunachal Pradesh
5,BIMPAK SIGA,Independent,10569,949,11518,2.88,1 - Arunachal West (Arunachal Pradesh),1 - Arunachal West,Arunachal Pradesh
6,RUHI TAGUNG,Independent,7559,262,7821,1.96,1 - Arunachal West (Arunachal Pradesh),1 - Arunachal West,Arunachal Pradesh
7,LEKI NORBU,Independent,2139,132,2271,0.5700000000000001,1 - Arunachal West (Arunachal Pradesh),1 - Arunachal West,Arunachal Pradesh
8,TANIA JUNE,Independent,1920,38,1958,0.49,1 - Arunachal West (Arunachal Pradesh),1 - Arunachal West,Arunachal Pradesh
9,NOTA,None of the Above,2133,163,2296,0.5700000000000001,1 - Arunachal West (Arunachal Pradesh),1 - Arunachal West,Arunachal Pradesh
1,ABDUL RASHID SHEIKH,Independent,469574,2907,472481,45.7,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
2,OMAR ABDULLAH,Jammu & Kashmir National Conference,266301,2038,268339,25.95,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
3,SAJAD GANI LONE,Jammu & Kashmir People Conference,171582,1657,173239,16.76,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
4,MIR MOHAMMAD FAYAZ,Jammu & Kashmir Peoples Democratic Party,27173,315,27488,2.66,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
5,SURAIYA NISSAR,Independent,21565,53,21618,2.09,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
6,FIRDOUS AHMAD BHAT,Independent,15707,15,15722,1.52,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
7,SHAFEEQA BEGUM,Independent,6203,11,6214,0.6000000000000001,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
8,PEERZADA MUDASIR RASHID SHAH,Jammu & Kashmir National Panthers Party (Bhim),5499,67,5566,0.54,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
9,KHURSHEED AHMAD SHAH,Rashtriya Jankranti Party,4213,55,4268,0.41,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
10,MOHAMMAD SULTAN GANAIE,Independent,4054,9,4063,0.39,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
11,SHADIB HANIEF KHAN,Independent,3668,2,3670,0.35,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
12,MUDASIR AHMAD TANTARY,Independent,3196,22,3218,0.31,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
13,NAZIR AHMAD SOFI,Independent,2980,3,2983,0.29,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
14,SHABIR AHMAD DAR,Independent,2694,6,2700,0.26,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
15,HILAL AHMAD WAGAY,Independent,2681,8,2689,0.26,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
16,MEHRAJ UDDIN NAJAR,Independent,2560,10,2570,0.25,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
17,SYED AMEER SUHAIL,Independent,2409,8,2417,0.23,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
18,FAROOQ AHMAD BHAT,National Youth Party,2315,28,2343,0.23,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
19,ARUN KUMAR RAINA,Independent,2161,80,2241,0.22,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
20,MUNIR AHMAD KHAN,Jammu and Kashmir Nationalist People's Front,2004,15,2019,0.2,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
21,MUZAFFAR HUSSAIN DAR,Independent,1663,8,1671,0.16,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
22,MUSHTAQ AHMAD MIR,National Loktantrik Party,1382,15,1397,0.14,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
23,NOTA,None of the Above,4873,111,4984,0.48,1 - BARAMULLA (Jammu and Kashmir),1 - BARAMULLA,Jammu and Kashmir
