S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASIT KUMAR MAL,All India Trinamool Congress,851209,4424,855633,55.98
2,PIYA SAHA,Bharatiya Janata Party,525463,2917,528380,34.57
3,SHYAMALI PRADHAN,Communist Party of India (Marxist),98819,564,99383,6.5
4,ATUL CHANDRA BAURI,Independent,7811,18,7829,0.51
5,DR MANIK CHANDRA PRODHAN,Bahujan Samaj Party,7011,28,7039,0.46
6,SHANTA DAS,Mulnibasi Party of India,3633,7,3640,0.24
7,BIJOY DOLUI,Socialist Unity Centre Of India (COMMUNIST),2774,18,2792,0.18
8,MANTU DHIBAR,Hindustan Shakti Sena,2048,4,2052,0.13
9,NOTA,None of the Above,21640,82,21722,1.42
