S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANGOMCHA BIMOL AKOIJAM,Indian National Congress,370678,3339,374017,46.93
2,THOUNAOJAM BASANTA KUMAR SINGH,Bharatiya Janata Party,262217,1999,264216,33.16
3,MAHESHWAR THOUNAOJAM,Republican Party of India (Athawale),134308,1332,135640,17.02
4,RAJKUMAR SOMENDRO SINGH,Independent,12892,158,13050,1.6400000000000001
5,MOIRANGTHEM TOTOMSHANA NONGSHABA,Independent,4831,50,4881,0.61
6,HAORUNGBAM SARAT SINGH,Independent,1279,17,1296,0.16
7,NOTA,None of the Above,3707,90,3797,0.48
