S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BRIJENDRA SINGH OLA,Indian National Congress,541203,11965,553168,49.44
2,SHUBHKARAN CHOUDHARY,Bharatiya Janata Party,523669,11264,534933,47.81
3,SHEKHAWAT RAJENDRA SINGH,Independent,7389,301,7690,0.6900000000000001
4,BANSHIDHAR,Bahujan Samaj Party,6679,188,6867,0.61
5,DURGA PRASAD MEENA,Ambedkarite Party of India,5440,57,5497,0.49
6,ALTIF,Independent,2025,25,2050,0.18
7,SATYANARAYAN,Bheem Tribal Congress,1127,23,1150,0.1
8,HAZARI LAL,Bahujan Kranti Party (Marxwad-Ambedkarwad),922,18,940,0.08
9,NOTA,None of the Above,6454,178,6632,0.59
