S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,VIVEK THAKUR,Bharatiya Janata Party,408537,2071,410608,47.2
2,SHRAWAN KUMAR,Rashtriya Janata Dal,340562,2376,342938,39.42
3,BINOD YADAV,Independent,39391,128,39519,4.54
4,GUNJAN KUMAR,Independent,29444,238,29682,3.41
5,RANJIT KUMAR,Bahujan Samaj Party,16240,76,16316,1.88
6,ANAND KUMAR VERMA,Bharat Jan Jagran Dal,7727,9,7736,0.89
7,GAUTAM KUMAR BABLOO,Bhagidari Party(P),5886,3,5889,0.68
8,GANAURI PANDIT,Peoples Party of India (Democratic),4558,32,4590,0.53
9,NOTA,None of the Above,12555,37,12592,1.45
