S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SAPTAGIRI SANKAR ULAKA,Indian National Congress,469295,2098,471393,41.03
2,KAUSALYA HIKAKA,Biju Janata Dal,322797,852,323649,28.17
3,KALIRAM MAJHI,Bharatiya Janata Party,230792,1722,232514,20.24
4,DAMINI JANI,Bahujan Samaj Party,15373,54,15427,1.34
5,PRAKASH HIKAKA,Communist Party of India (Marxist-Leninist) (Liberation),14847,5,14852,1.29
6,LASU HANTAL,Independent,14362,11,14373,1.25
7,RAGHUMANI GOMANGO,Independent,10528,12,10540,0.92
8,ABINASH GOMANGO,Independent,10258,16,10274,0.89
9,SUMAN KANTA,Naba Bharata Nirmana Seva Party,8386,10,8396,0.73
10,SANTOSH KUMAR BIDIKA,Republican Party of India (A),5413,2,5415,0.47000000000000003
11,PRAMILA PUJARI,Socialist Unity Centre Of India (COMMUNIST),4866,12,4878,0.42
12,NOTA,None of the Above,37106,25,37131,3.23
