S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SALENG A SANGMA,Indian National Congress,382058,1861,383919,56.96
2,AGATHA K SANGMA,National People's Party,227210,1468,228678,33.93
3,ZENITH M SANGMA,All India Trinamool Congress,48518,191,48709,7.23
4,LABENN CH MARAK,Independent,6846,64,6910,1.03
5,NOTA,None of the Above,5809,31,5840,0.87
