S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,413320,3095,416415,41.8
2,ACHYUTANANDA SAMANTA,Biju Janata Dal,393644,1400,395044,39.66
3,AMIR CHAND NAYAK,Indian National Congress,143311,1011,144322,14.49
4,BHAGIRATHI BALIARSINGH,Manas Lokshakti Dal,7329,1,7330,0.74
5,KANAK MANJARI RATH,Independent,5201,4,5205,0.52
6,HARIBANDHU BEHERA,Bahujan Samaj Party,5121,16,5137,0.52
7,SUBASH MOHAPATRA,National Jan Dal,4133,4,4137,0.42
8,PARSURAM PRADHAN,Kalinga Sena,2770,11,2781,0.28
9,NOTA,None of the Above,15691,29,15720,1.58
