S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR. VIRENDRA KUMAR,Bharatiya Janata Party,713781,1269,715050,65.1
2,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,311134,604,311738,28.38
3,AHIRWAR DALLURAM,Bahujan Samaj Party,32604,69,32673,2.9699999999999998
4,AHIRWAR PANKAJ,Rashtriya Samaj Paksha,10147,11,10158,0.92
5,SARJU PRASAD,Independent,5993,4,5997,0.55
6,N.R. PRAJAPATI,Adarsh Nyay Rakshak Party,5475,9,5484,0.5
7,BABULAL KHANGAR,Independent,4452,7,4459,0.41000000000000003
8,NOTA,None of the Above,12816,15,12831,1.17
