S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,VIJAYLAKSHMI DEVI,Janata Dal (United),385625,883,386508,38.73
2,HENA SHAHAB,Independent,293084,567,293651,29.42
3,AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal,198063,760,198823,19.92
4,SATYENDRA KUSHWAHA,Independent,21558,7,21565,2.16
5,JEEWAN KUMAR,Independent,18489,101,18590,1.8599999999999999
6,DILIP KU SINGH,Bahujan Samaj Party,12032,80,12112,1.21
7,SANJAY KUMAR SAH,Bhartiya Lok Nayak Party,8851,28,8879,0.89
8,DR. RAVINDRA NATH SHUKLA,Independent,8681,12,8693,0.87
9,DEVKANT MISHRA,Independent,6162,19,6181,0.62
10,PRAMOD KUMAR,Independent,5666,2,5668,0.5700000000000001
11,PRAKASH MANI TIWARI,Independent,4503,6,4509,0.45
12,MAHENDRA SINGH ALIAS MAHENDRA RAI,Independent,3920,2,3922,0.39
13,DILIP KUMAR SINGH,Independent,1947,6,1953,0.2
14,NOTA,None of the Above,26925,39,26964,2.7
