S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAJ KUMAR ROAT,Bharat Adivasi Party,815430,5401,820831,50.15
2,MAHENDRAJEETSINGH MALVIYA,Bharatiya Janata Party,568589,5188,573777,35.05
3,RAJKUMAR S/O HIRALAL,Independent,74551,47,74598,4.5600000000000005
4,ARVIND SITA DAMOR,Indian National Congress,60917,294,61211,3.74
5,RAJKUMAR S/O PREMJI,Independent,41742,48,41790,2.55
6,BANSHILAL AHARI,Independent,17884,12,17896,1.09
7,SHANKARLAL BAMANIYA,Indian Peoples Green Party,17169,19,17188,1.05
8,DILEEP KUMAR MEENA,Bahujan Samaj Party,8573,18,8591,0.52
9,NOTA,None of the Above,20892,78,20970,1.28
