S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DAROGA PRASAD SAROJ,Samajwadi Party,437567,2392,439959,43.85
2,NEELAM SONKER,Bharatiya Janata Party,324106,830,324936,32.38
3,INDU CHAUDHRI,Bahujan Samaj Party,209308,745,210053,20.93
4,GANGADEEN,Communist Party of India,12263,8,12271,1.22
5,BALINDAR,Janta Kranti Party (Rashtravadi),4157,1,4158,0.41000000000000003
6,SUSHMITA SAROJ,Independent,2621,5,2626,0.26
7,RAM PYARE SHARAN VIJAITA,Independent,2337,4,2341,0.23
8,NOTA,None of the Above,7075,19,7094,0.71
