S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PARTHA BHOWMICK,All India Trinamool Congress,518486,1745,520231,45.56
2,ARJUN SINGH,Bharatiya Janata Party,454184,1609,455793,39.92
3,DEBDUT GHOSH,Communist Party of India (Marxist),109038,526,109564,9.6
4,MD JAMIR HOSSAIN,All India Secular Front,18797,9,18806,1.65
5,ROHIT KUMAR PATHAK,Independent,7116,16,7132,0.62
6,CHAPALA RAY (MAJUMDER),Bahujan Samaj Party,3882,27,3909,0.34
7,SHARMISTHA DAS,Independent,3622,12,3634,0.32
8,ANJAN GOSWAMI,Bharatiya Nyay-Adhikar Raksha Party,3434,14,3448,0.30000000000000004
9,DHARMENDRA SINGH,Independent,2843,4,2847,0.25
10,SANJAY SINGH,Independent,1670,6,1676,0.15
11,DEBASISH BANERJEE,Socialist Unity Centre Of India (COMMUNIST),1422,12,1434,0.13
12,KUNDAN SINGH,Independent,820,6,826,0.07
13,UDAY VEER CHOUDHURY,Independent,745,12,757,0.07
14,AMIT KUMAR CHOUBEY,Independent,717,4,721,0.06
15,NOTA,None of the Above,11043,39,11082,0.97
