S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DHARAMBIR SINGH,Bharatiya Janata Party,582735,5929,588664,49.74
2,RAO DAN SINGH,Indian National Congress,541926,5228,547154,46.24
3,BAHADUR SINGH,Jannayak Janta Party,15076,189,15265,1.29
4,SUNIL KUMAR SHARMA,Bahujan Samaj Party,6239,97,6336,0.54
5,SUBHASH,Rashtrawadi Janlok Party (Satya),4663,32,4695,0.4
6,HEMANT,Independent,3876,5,3881,0.33
7,SEEMA,Independent,2961,18,2979,0.25
8,VED PRAKASH,Independent,1897,3,1900,0.16
9,ANAND KUMAR,Bharatheeya Jawan Kisan Party,1642,26,1668,0.14
10,YOGBIR SINGH,Independent,1473,5,1478,0.12
11,VARSHA,Independent,993,60,1053,0.09
12,BALWAN,Peoples Party of India (Democratic),854,3,857,0.07
13,ROHTASH,Socialist Unity Centre Of India (COMMUNIST),637,3,640,0.05
14,JAI SINGH,Independent,442,9,451,0.04
15,BHARAT BHUSHAN,Bhartiya Shakti Chetna Party,440,3,443,0.04
16,ENGINEER MAHAVIR SINGH YADAV,Independent,406,9,415,0.04
17,JAGDISH,Independent,219,10,229,0.02
18,NOTA,None of the Above,5188,99,5287,0.45
