S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JAGANNATH SARKAR,Bharatiya Janata Party,778046,4350,782396,50.78
2,MUKUT MANI ADHIKARI,All India Trinamool Congress,592276,3221,595497,38.65
3,ALAKESH DAS,Communist Party of India (Marxist),122970,840,123810,8.04
4,BIPLAB BISWAS,Bahujan Samaj Party,9319,73,9392,0.61
5,PARESH HALDAR,Socialist Unity Centre Of India (COMMUNIST),8223,16,8239,0.53
6,JAGANNATH SARKAR,Independent,5831,30,5861,0.38
7,SHYAMAL KUMAR MALLICK,Independent,5533,11,5544,0.36
8,NOTA,None of the Above,9798,95,9893,0.64
