S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PATEL UMESHBHAI BABUBHAI,Independent,42469,54,42523,46.02
2,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,36243,55,36298,39.28
3,KETAN DAHYABHAI PATEL,Indian National Congress,11237,21,11258,12.18
4,UMESH PATEL,Navsarjan Bharat Party,545,-,545,0.59
5,SAKIL LATIF KHAN,Independent,323,-,323,0.35000000000000003
6,IDRISH G MULLA,Independent,247,-,247,0.27
7,PATEL UMESHBHAI BABU,Independent,238,-,238,0.26
8,NOTA,None of the Above,977,1,978,1.06
