S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KARAN BHUSHAN SINGH,Bharatiya Janata Party,570436,827,571263,53.79
2,BHAGAT RAM,Samajwadi Party,422012,408,422420,39.77
3,NARENDRA PANDEY,Bahujan Samaj Party,44217,62,44279,4.17
4,ARUNIMA PANDEY,Independent,9230,20,9250,0.87
5,NOTA,None of the Above,14872,15,14887,1.4
