S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASHOK KUMAR RAWAT,Bharatiya Janata Party,473971,1045,475016,45.15
2,SANGITA RAJVANSHI,Samajwadi Party,440157,1453,441610,41.98
3,B R AHIRWAR,Bahujan Samaj Party,111670,275,111945,10.64
4,RAMPAL,Independent,3973,5,3978,0.38
5,LALIT KUMAR,Bhartiya Shakti Chetna Party,3811,4,3815,0.36
6,Neelam Singh,Independent,2899,6,2905,0.28
7,VANDNA VERMA,Naari Nar Rakshak Party,1907,5,1912,0.18
8,AVDHESH,Independent,1419,4,1423,0.14
9,SAVITRI DEVI,Rashtriya Janshakti Samaj Party,1347,3,1350,0.13
10,NOTA,None of the Above,7997,32,8029,0.76
