S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,TAPIR GAO,Bharatiya Janata Party,140715,4866,145581,45.01
2,BOSIRAM SIRAM,Indian National Congress,109433,5727,115160,35.6
3,TAMAT GAMOH,Independent,26691,912,27603,8.53
4,SOTAI KRI,Independent,13227,986,14213,4.39
5,OMAK NITIK,Independent,9074,295,9369,2.9
6,BANDEY MILI,Arunachal Democratic Party,6419,203,6622,2.05
7,NOTA,None of the Above,4654,241,4895,1.51
