S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KALI CHARAN MUNDA,Indian National Congress,503997,7650,511647,54.62
2,ARJUN MUNDA,Bharatiya Janata Party,358076,3896,361972,38.64
3,SAVITRI DEVI,Bahujan Samaj Party,12202,98,12300,1.31
4,BASANT KUMAR LONGA,Independent,10735,20,10755,1.15
5,ARPANA HANS,Jharkhand Party,8450,82,8532,0.91
6,PASTAR SANJAY KUMAR TIRKEY,Independent,4944,19,4963,0.53
7,BABITA KACHHAP,Bharat Adivasi Party,4507,87,4594,0.49
8,NOTA,None of the Above,21814,105,21919,2.34
