S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANURAG SINGH THAKUR,Bharatiya Janata Party,593055,14013,607068,57.97
2,SATPAL RAIZADA,Indian National Congress,414828,9883,424711,40.55
3,HEM RAJ,Bahujan Samaj Party,2694,64,2758,0.26
4,JAGDEEP KUMAR,Rashtriya Devbhumi Party,1738,26,1764,0.17
5,SURENDER KUMAR GAUTAM,Independent,1401,9,1410,0.13
6,SUBEDAR MAJOR KULWANT SINGH PATIAL,Bharatheeya Jawan Kisan Party,1176,63,1239,0.12
7,NAND LAL,Independent,978,41,1019,0.1
8,SUMIT RANA,Akhil Bhartiya Parivar Party,666,9,675,0.06
9,RAMESH CHAND SARTHI,Independent,544,16,560,0.05
10,ARUN ANKESH SYAL,Ekam Sanatan Bharat Dal,412,21,433,0.04
11,GARIB DASS KATOCH,Independent,210,36,246,0.02
12,GOPI CHAND ATTARI,Independent,168,34,202,0.02
13,NOTA,None of the Above,5100,78,5178,0.49
