S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PRAVEEN PATEL,Bharatiya Janata Party,451380,1220,452600,44.6
2,AMAR NATH SINGH MAURYA,Samajwadi Party,446596,1672,448268,44.17
3,JAGANNATH PAL,Bahujan Samaj Party,82375,211,82586,8.14
4,MAHIMA PATEL,Apna Dal (Kamerawadi),4134,28,4162,0.41000000000000003
5,JILA JEET BHARTIY,Bahujan Awam Party,3294,5,3299,0.33
6,SUNIL KUMAR PRAJAPATI,Bhagidari Party(P),3040,7,3047,0.30000000000000004
7,ENGG YOGESH KUSHWAHA,Pragatisheel Samaj Party,2768,3,2771,0.27
8,AKHILESH TRIPATHI,Independent,2295,3,2298,0.23
9,NAFIS AHAMAD,Independent,2145,2,2147,0.21
10,DR NEERAJ,Independent,1702,8,1710,0.17
11,SANJEEV KUMAR MISHRA,Yuva Vikas Party,1675,4,1679,0.17
12,MUSHIR AHMAD SIDDIQUI,Peoples Party of India (Democratic),1505,1,1506,0.15
13,SANGEETA YADAV,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),1283,8,1291,0.13
14,LALA RAM SAROJ,Prabuddhwadi Bahujan Morcha,1043,9,1052,0.1
15,PRAMOD BHAI PATEL URF P K,Sardar Patel Siddhant Party,947,1,948,0.09
16,NOTA,None of the Above,5445,15,5460,0.54
