S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SACHITHANANTHAM R,Communist Party of India (Marxist),667391,2758,670149,58.29
2,MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,225492,836,226328,19.69
3,THILGABAMA M,Pattali Makkal Katchi,111013,1490,112503,9.79
4,KAILAI RAJAN D,Naam Tamilar Katchi,96891,954,97845,8.51
5,RAJKUMAR R,Independent,4410,6,4416,0.38
6,NATCHIMUTHU S,Bahujan Samaj Party,4231,53,4284,0.37
7,DINESHKUMAR S,All India Youth Development Party,2411,23,2434,0.21
8,MURUGESAN (A) VISHNU MURUGESAN C,Independent,2004,4,2008,0.17
9,ANGUCHAMY M,Independent,1286,4,1290,0.11
10,SURESH K,Independent,1254,3,1257,0.11
11,ARUMUGAM R,Independent,1078,11,1089,0.09
12,SABARINATH S,Independent,1001,10,1011,0.09
13,ANBUROSE D,Independent,997,15,1012,0.09
14,PALANISAMY K,Independent,941,8,949,0.08
15,SATHISH KANNA G T,Independent,914,12,926,0.08
16,NOTA,None of the Above,21860,260,22120,1.92
