S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SAVITRI THAKUR,Bharatiya Janata Party,792591,1858,794449,55.75
2,RADHESHYAM MUVEL,Indian National Congress,574756,1028,575784,40.4
3,DHUMSINGH MANDLOI MACHHAR,Bahujan Samaj Party,14926,30,14956,1.05
4,JITENDRA MUNIYA,Bharat Adivasi Party,10586,35,10621,0.75
5,SUNIL AJRAWAT,Independent,5400,8,5408,0.38
6,SHIVAJI PATEL KALMI,Independent,4694,6,4700,0.33
7,VIKRAM VASUNIYA,Janata Congress,3464,11,3475,0.24
8,NOTA,None of the Above,15612,39,15651,1.1
