Party,Won,Leading,Total
Bharatiya Janata Party - BJP,14,0,14
Indian National Congress - INC,8,0,8
Communist Party of India (Marxist) - CPI(M),1,0,1
Rashtriya Loktantrik Party - RLTP,1,0,1
Bharat Adivasi Party - BHRTADVSIP,1,0,1
Total,25,0,25
