Party,Won,Leading,Total
Bharatiya Janata Party - BJP,9,0,9
Indian National Congress - INC,3,0,3
"United People’s Party, Liberal - UPPL",1,0,1
Asom Gana Parishad - AGP,1,0,1
Total,14,0,14
