Party,Won,Leading,Total
Indian National Congress - INC,14,0,14
Indian Union Muslim League - IUML,2,0,2
Communist Party of India (Marxist) - CPI(M),1,0,1
Bharatiya Janata Party - BJP,1,0,1
Kerala Congress - KEC,1,0,1
Revolutionary Socialist Party - RSP,1,0,1
Total,20,0,20
